Date,Min Precipitation (mm),Max Precipitation (mm),Mean Precipitation (mm),Standard Deviation (mm)

2020-01-01,0.0,0.0,0.0,0.0

2020-01-02,0.0,12.095416069030762,10.480297929590739,3.3738259302872406

2020-01-03,33.40740966796875,37.02644348144531,36.27795572054339,0.705024158398187

2020-01-04,9.256610870361328,17.13439178466797,11.838212514542494,1.9143965528318871

2020-01-05,0.0,11.13580322265625,2.121230765311359,3.923384961668222

2020-01-06,8.613430976867676,10.605491638183594,10.14736999727258,0.8232407869302718

2020-01-07,0.0,0.0,0.0,0.0

2020-01-08,10.456236839294434,14.140655517578125,13.27022041397068,1.3560841118985338

2020-01-09,7.0703277587890625,11.484574317932129,8.31297751638841,1.9137791080903188

2020-01-10,0.0,0.0,0.0,0.0

2020-01-11,7.443100452423096,16.327367782592773,15.128044936074907,2.3326748222778115

2020-01-12,15.647478103637695,23.16204833984375,16.350088084286877,1.853271621051666

2020-01-13,0.0,0.0,0.0,0.0

2020-01-14,0.0,0.0,0.0,0.0

2020-01-15,0.0,0.0,0.0,0.0

2020-01-16,0.0,0.0,0.0,0.0

2020-01-17,0.0,0.0,0.0,0.0

2020-01-18,8.077858924865723,8.956863403320312,8.838769539228691,0.22300559202171522

2020-01-19,0.0,0.0,0.0,0.0

2020-01-20,0.0,0.0,0.0,0.0

2020-01-21,0.0,0.0,0.0,0.0

2020-01-22,0.0,0.0,0.0,0.0

2020-01-23,0.0,0.0,0.0,0.0

2020-01-24,0.0,0.0,0.0,0.0

2020-01-25,0.0,0.0,0.0,0.0

2020-01-26,0.0,0.0,0.0,0.0

2020-01-27,0.0,0.0,0.0,0.0

2020-01-28,0.0,0.0,0.0,0.0

2020-01-29,0.0,0.0,0.0,0.0

2020-01-30,24.98900032043457,26.341625213623047,25.48131605665535,0.27524120830413934

2020-01-31,0.0,0.0,0.0,0.0

2020-02-01,4.083116054534912,12.305927276611328,7.2263974318486435,2.7570233313155974

2020-02-02,0.0,0.0,0.0,0.0

2020-02-03,0.0,0.0,0.0,0.0

2020-02-04,6.0466485023498535,6.912117958068848,6.310169746761956,0.1541246098206333

2020-02-05,0.0,9.92495346069336,5.543950965554541,3.0382568102291936

2020-02-06,19.098039627075195,21.757038116455078,19.888890060366837,0.4491353515626817

2020-02-07,21.826332092285156,24.865188598632812,22.730161037636183,0.5132974908669513

2020-02-08,0.0,0.0,0.0,0.0

2020-02-09,0.0,0.0,0.0,0.0

2020-02-10,0.0,0.0,0.0,0.0

2020-02-11,0.0,0.0,0.0,0.0

2020-02-12,0.0,0.0,0.0,0.0

2020-02-13,0.0,9.194640159606934,6.11102409639096,3.3496470424293365

2020-02-14,0.0,0.0,0.0,0.0

2020-02-15,0.0,13.614974975585938,8.768443614065353,2.79719952403049

2020-02-16,0.0,0.0,0.0,0.0

2020-02-17,0.0,24.942934036254883,11.016994011951791,6.704078236411705

2020-02-18,19.427663803100586,29.494770050048828,27.16284852816287,4.153450684921337

2020-02-19,10.508498191833496,16.999204635620117,13.756498551523057,1.744795818673552

2020-02-20,0.0,25.498807907104492,14.777413083828506,6.698154516609209

2020-02-21,0.0,0.0,0.0,0.0

2020-02-22,0.0,0.0,0.0,0.0

2020-02-23,11.891915321350098,21.095285415649414,13.466108835698233,1.7234863123653688

2020-02-24,0.0,0.0,0.0,0.0

2020-02-25,9.262332916259766,13.343027114868164,12.698848053123355,1.1700681253796377

2020-02-26,7.868288516998291,10.095869064331055,8.667995608029596,0.44376986909077604

2020-02-27,0.0,0.0,0.0,0.0

2020-02-28,0.0,0.0,0.0,0.0

2020-02-29,0.0,0.0,0.0,0.0

2020-03-01,0.0,0.0,0.0,0.0

2020-03-02,0.0,0.0,0.0,0.0

2020-03-03,0.0,6.402714729309082,4.468115348553279,2.9499104907312756

2020-03-04,19.365041732788086,25.610858917236328,23.973718572762014,2.5142603143590976

2020-03-05,12.805429458618164,22.007793426513672,15.037487875655446,3.416346237888803

2020-03-06,6.545803070068359,14.616145133972168,12.119158107594426,2.97127081245297

2020-03-07,22.442752838134766,25.056249618530273,23.24815433311726,0.47317005523550554

2020-03-08,26.80360984802246,32.7290153503418,28.565109073610696,2.2304360478366596

2020-03-09,0.0,0.0,0.0,0.0

2020-03-10,19.637409210205078,27.431419372558594,25.626974674413436,3.2287830228897585

2020-03-11,0.0,0.0,0.0,0.0

2020-03-12,0.0,5.404631614685059,4.156174062472048,2.2636675449247554

2020-03-13,13.633203506469727,18.944965362548828,15.611346789300221,1.0992283987251976

2020-03-14,9.088802337646484,12.629977226257324,10.407564924855697,0.7328191885096834

2020-03-15,5.163121223449707,9.088802337646484,6.205069460758059,1.5396918682152716

2020-03-16,0.0,0.0,0.0,0.0

2020-03-17,0.0,0.0,0.0,0.0

2020-03-18,0.0,0.0,0.0,0.0

2020-03-19,0.0,0.0,0.0,0.0

2020-03-20,33.36873245239258,36.19953536987305,35.415555892023185,1.1987618445879482

2020-03-21,7.691888332366943,13.645919799804688,9.352514870256533,2.296259751309351

2020-03-22,20.4688777923584,29.883264541625977,23.547551242062347,1.751938274658348

2020-03-23,15.5953369140625,22.768203735351562,17.940991342087724,1.3348093619044676

2020-03-24,15.5953369140625,37.33845901489258,31.62402301463318,9.073576774002332

2020-03-25,0.0,8.790729522705078,2.37285853014579,3.6897848545936536

2020-03-26,0.0,0.0,0.0,0.0

2020-03-27,7.2237396240234375,16.37209701538086,11.439099497387595,2.509742811726154

2020-03-28,7.2237396240234375,12.264815330505371,10.82937285228116,2.2045359006101655

2020-03-29,0.0,0.0,0.0,0.0

2020-03-30,14.447479248046875,24.529630661010742,21.65874570456232,4.409071801220331

2020-03-31,0.0,14.447479248046875,3.8620450043840524,6.070896656951862

2020-04-01,49.62995910644531,60.71787643432617,53.37503119165651,2.709314065678397

2020-04-02,24.814979553222656,40.47858428955078,33.760823652252675,4.923193005157921

2020-04-03,10.239344596862793,23.130619049072266,13.11099032216979,4.56895249554738

2020-04-04,16.543319702148438,20.23929214477539,17.79167660621564,0.9031046185301602

2020-04-05,10.119646072387695,27.50540542602539,18.92771027125114,3.8579325015477886

2020-04-06,0.0,26.96034049987793,22.619667631418327,7.751177412704774

2020-04-07,0.0,0.0,0.0,0.0

2020-04-08,0.0,0.0,0.0,0.0

2020-04-09,0.0,0.0,0.0,0.0

2020-04-10,0.0,17.695026397705078,3.805474545741637,7.030698047410677

2020-04-11,0.0,0.0,0.0,0.0

2020-04-12,0.0,0.0,0.0,0.0

2020-04-13,0.0,0.0,0.0,0.0

2020-04-14,28.4644718170166,31.51283073425293,28.932758573408275,0.866839833276454

2020-04-15,0.0,0.0,0.0,0.0

2020-04-16,6.143893718719482,15.613728523254395,6.608777371747604,1.0651152549309146

2020-04-17,0.0,0.0,0.0,0.0

2020-04-18,0.0,0.0,0.0,0.0

2020-04-19,0.0,0.0,0.0,0.0

2020-04-20,0.0,7.847813606262207,6.494248299075183,0.9084775967201983

2020-04-21,0.0,0.0,0.0,0.0

2020-04-22,26.095849990844727,31.578948974609375,27.623927452304795,2.339806273079418

2020-04-23,8.698616027832031,10.526317596435547,9.207975398424244,0.7799357755662449

2020-04-24,9.688774108886719,21.052635192871094,16.06231700271753,3.265606315776234

2020-04-25,10.526317596435547,20.719118118286133,17.631912404287053,2.454195838207757

2020-04-26,0.0,13.096796989440918,9.13956065815883,6.034062185732546

2020-04-27,0.0,0.0,0.0,0.0

2020-04-28,40.005104064941406,53.32575607299805,47.81874457996458,3.2168319041316358

2020-04-29,40.005104064941406,53.32575607299805,47.81874457996458,3.2168319041316358

2020-04-30,26.193593978881836,30.48008155822754,27.38089033526277,1.8152449771266732

2020-05-01,0.0,8.244440078735352,0.6140758615424554,2.1877105908504832

2020-05-02,0.0,0.0,0.0,0.0

2020-05-03,0.0,0.0,0.0,0.0

2020-05-04,0.0,21.940349578857422,5.595684560548839,9.118079463447936

2020-05-05,0.0,0.0,0.0,0.0

2020-05-06,0.0,0.0,0.0,0.0

2020-05-07,0.0,0.0,0.0,0.0

2020-05-08,0.0,0.0,0.0,0.0

2020-05-09,0.0,0.0,0.0,0.0

2020-05-10,0.0,0.0,0.0,0.0

2020-05-11,0.0,0.0,0.0,0.0

2020-05-12,0.0,0.0,0.0,0.0

2020-05-13,11.302817344665527,13.691720008850098,11.94107190642058,0.9261808372147861

2020-05-14,0.0,0.0,0.0,0.0

2020-05-15,0.0,0.0,0.0,0.0

2020-05-16,6.169382572174072,10.69008731842041,8.864487799954627,0.9932406675579598

2020-05-17,0.0,0.0,0.0,0.0

2020-05-18,0.0,0.0,0.0,0.0

2020-05-19,6.169382572174072,10.69008731842041,8.864487799954627,0.9932406675579598

2020-05-20,12.338765144348145,21.38017463684082,17.728975599909255,1.9864813351159196

2020-05-21,1.6220413446426392,2.375993251800537,2.041884618522191,0.18808867285398162

2020-05-22,9.854146003723145,15.608621597290039,12.78890571524735,1.5164302553202207

2020-05-23,5.417043209075928,8.735613822937012,7.23873623537257,0.8076553472187621

2020-05-24,15.783252716064453,26.264320373535156,21.25931485841746,2.695892141109606

2020-05-25,10.769742965698242,17.486772537231445,14.142672053758803,1.7954162346656388

2020-05-26,25.22683334350586,42.26688766479492,36.60000865139349,3.281982377471768

2020-05-27,0.0,17.716014862060547,12.363068052684051,8.162265586554991

2020-05-28,17.716014862060547,42.26688766479492,24.236940598709417,10.297883547775998

2020-05-29,37.84024429321289,63.40033721923828,54.900016928988705,4.922974869826756

2020-05-30,0.0,0.0,0.0,0.0

2020-05-31,0.0,0.0,0.0,0.0

2020-06-01,9.419745445251465,13.720317840576172,13.068533827655731,0.4841971434024246

2020-06-02,6.2065629959106445,9.925241470336914,9.056297014996119,0.37892275521573965

2020-06-03,5.966625690460205,9.311553955078125,8.481937845262685,0.3268389536240113

2020-06-04,3.6223292350769043,5.220128536224365,4.578141137271391,0.23448411921411141

2020-06-05,10.58631706237793,15.06662368774414,14.089290957650242,0.6691942036023265

2020-06-06,11.298931121826172,22.236867904663086,17.999200183611496,2.332372839323615

2020-06-07,22.597862243652344,44.47373580932617,35.99840036722299,4.66474567864723

2020-06-08,11.298931121826172,22.236867904663086,17.999200183611496,2.332372839323615

2020-06-09,0.0,15.823461532592773,1.2614683031343523,4.291440176245557

2020-06-10,0.0,0.0,0.0,0.0

2020-06-11,7.004014015197754,11.543696403503418,9.670495243839783,1.0260323031641732

2020-06-12,18.91705322265625,30.445405960083008,24.590988458619304,3.1781818152084167

2020-06-13,12.132783889770508,18.84572410583496,15.452003165471766,1.875971839046733

2020-06-14,8.00031852722168,12.675504684448242,10.679899802724478,1.1121550680521795

2020-06-15,24.262615203857422,39.72776794433594,32.546315409765334,3.902647273723918

2020-06-16,0.0,0.0,0.0,0.0

2020-06-17,0.0,0.0,0.0,0.0

2020-06-18,0.0,0.0,0.0,0.0

2020-06-19,0.0,0.0,0.0,0.0

2020-06-20,0.0,0.0,0.0,0.0

2020-06-21,0.0,0.0,0.0,0.0

2020-06-22,0.0,0.0,0.0,0.0

2020-06-23,0.0,0.0,0.0,0.0

2020-06-24,0.0,0.0,0.0,0.0

2020-06-25,0.0,0.0,0.0,0.0

2020-06-26,0.0,8.589219093322754,0.6397562556507956,2.279199727106274

2020-06-27,0.0,0.0,0.0,0.0

2020-06-28,0.0,0.0,0.0,0.0

