Date,NDRE_mean,NDRE_min,NDRE_max,NDRE_stdDev
2020-01-03,0.20678430802942824,-0.021002287377833228,0.43804537521815007,0.06071984935915054
2020-01-08,0.1617853015746576,-0.01989730423620026,0.3708165997322624,0.05144196618613257
2020-01-13,0.3494932873313625,-0.21535776614310645,0.7498815727143534,0.10201421506352527
2020-01-18,0.29919862251101703,-0.5731274131274131,0.7343640196767393,0.2223394673952054
2020-01-23,0.35106305963632695,-0.4074074074074074,0.7692082968156588,0.23264986799469536
2020-01-28,0.3528530353215976,-0.5590551181102362,0.735392067817136,0.24340215062725096
2020-02-02,0.38152214477411456,-0.3351063829787234,0.7639123102866779,0.17988535064886274
2020-02-07,0.02174093929097233,-0.013239584112499064,0.06868104562170758,0.008373168416091613
2020-02-12,0.3265316093173919,-0.26504992867332383,0.7835116425424795,0.22823898027241876
2020-02-17,-0.004739016024626884,-0.09198233790378806,0.17778860204578664,0.021464719399104822
2020-02-17,-0.006189017632428101,-0.09276789095039757,0.17777219009303494,0.02143000920517041
2020-02-22,0.255585240485716,-0.14313919052319843,0.6547966530453395,0.17308463306491312
2020-02-27,-0.005891817322747144,-0.17583933772803925,0.6198603568657874,0.08896106897570315
2020-03-03,0.3598688727387291,-0.10079413561392792,0.6202321724709784,0.11452282507143838
2020-03-08,0.06446867518367558,0.048625792811839326,0.08168230795968022,0.004397716810923951
2020-03-13,-0.0521375393429506,-0.06813382238523952,-0.03289424162589386,0.0053333503134758865
2020-03-18,0.0063514635707126775,-0.4291681169509224,0.712938711367208,0.1205642570866946
2020-03-23,0.2462046221562175,-0.0823553423818757,0.5667708798570791,0.14114318322586686
2020-03-28,0.1692859736461818,-0.23304473304473305,0.6095837812931961,0.1844596468937066
2020-04-02,-0.006823002199119206,-0.022632586420448148,0.013039536991841573,0.0049790371768947605
2020-04-07,0.4732848461894391,-0.33556672250139585,0.7609489051094891,0.14740206713569953
2020-04-12,0.30268082793246087,-0.5200366384245477,0.8120262758969177,0.21613886917345576
2020-04-17,0.006851110130868608,-0.07575897388576175,0.18020267293288295,0.02760156233345014
2020-04-22,0.17605075348366703,-0.39889396489540757,0.6702107094529287,0.19463060762571713
2020-04-27,0.17182854313582227,-0.275256707519046,0.47979599843075715,0.12178483747647094
2020-05-02,0.5105524263552147,-0.3954098360655738,0.7729052466718872,0.11949008474144222
2020-05-07,0.479302964977599,-0.3395348837209302,0.8022222222222222,0.18728758184872749
2020-05-12,0.4047571394523102,-0.5776699029126213,0.8168761220825853,0.2144700414785025
2020-05-17,0.26632419257183393,-0.511823436678928,0.7510665924689297,0.22147848130850334
2020-05-22,0.11470846037087667,-0.09927819192994912,0.36879076768690416,0.0840689732842604
2020-05-27,0.5330020570522929,-0.44339622641509435,0.857838364167478,0.11989449454871229
2020-06-01,0.32536169165704454,-0.3172920065252855,0.8426896012509774,0.21705537519379878
2020-06-06,0.43288402447553903,-0.3428662217985383,0.7383483237939493,0.16884747528550312
2020-06-11,0.1537328988731775,-0.022628372497824196,0.45261845386533667,0.06632382013546181
2020-06-16,0.04224440485470349,-0.4294488995052039,0.7228108108108108,0.150684713110568
2020-06-21,0.27603973246730823,-0.009861932938856016,0.6490278119616048,0.10874202251563053
2020-06-26,0.481854089824477,-0.34809474768280124,0.7851590106007067,0.14200010105955382
2020-07-01,-0.0544435874047941,-0.0819277108433735,-0.02568763453719206,0.0045197062939967645
2020-07-06,0.14490533234077912,-0.1265805574439157,0.5298701298701298,0.13456928956834577
2020-07-11,0.21949270615725494,-0.3393418570530287,0.714410480349345,0.18527099488413878
2020-07-16,0.07320371211014645,-0.2874493927125506,0.8037383177570093,0.08674573691992454
2020-07-21,0.28830315978195564,0.026415094339622643,0.5053923391595389,0.07258530258957177
2020-07-26,-0.04360585257902451,-0.08690719310188337,0.0846738554003889,0.014570895890813102
2020-07-31,0.3146924373125389,-0.25026032627559874,0.7420347176444737,0.17220014353748989
2020-08-05,0.19010494049657609,-0.3325055872858207,0.734916864608076,0.20080082591873066
2020-08-10,0.38804363203176306,-0.2898550724637681,0.7155266015200868,0.1719652605023735
2020-08-15,-0.05464457773074568,-0.08425259792166268,-0.009023215067893123,0.00731339713571471
2020-08-20,0.360993854266084,-0.2636518771331058,0.8863936591809776,0.2310716441226708
2020-08-25,0.28651705056940463,-0.23972602739726026,0.7367738215366874,0.2020299845775884
2020-08-30,0.37506681489254373,-0.03808680248007086,0.7350594076964001,0.113763533216997
2020-09-04,-0.02343380830151999,-0.19304696640481364,0.17833418497700562,0.022038989710902884
2020-09-09,0.34300269554035634,-0.18526638894979172,0.6311584553928096,0.15940961050260746
2020-09-14,-0.0012610625536495642,-0.11031746031746031,0.2947419199228172,0.029479961367160683
2020-09-19,0.10127045884395403,-0.381549815498155,0.7161862527716186,0.1989963101315857
2020-09-24,0.16630397936113772,-0.2946548482406661,0.6847188685753708,0.18230842238893363
2020-09-29,-0.03130378779135701,-0.33802366485449314,0.6476190476190476,0.09259133165707883
2020-10-04,0.21384774779852847,0.0059447663481074576,0.47178148222534644,0.06362871678406702
2020-10-09,0.46849307873421836,-0.6373134328358209,0.7364115615342665,0.13023550998339659
2020-10-14,0.132681843457424,-0.2068686214158432,0.6486609169314571,0.2018541468172892
2020-10-19,0.4227687029831974,-0.32917705735660846,0.7883902840675175,0.15578303272583613
2020-10-24,0.41179318775107354,-0.3163876834056623,0.7182288671650374,0.1650475235744474
2020-11-03,0.11790251359835899,-0.10252873563218391,0.4292119330919124,0.09558743086685745
